sampleID,prob1,prob2,class1,class2
TCGA.3U.A98H.MESO.C6,0.7787991,0.20017937,6,3
TCGA.E7.A6MD.BLCA.C1,0.72226554,0.27730304,1,2
TCGA.E1.A7YE.LGG.C4,0.83577406,0.16409245,4,5
TCGA.BF.A1PU.SKCM.C1,0.69314295,0.29931298,4,1
TCGA.DD.A4NJ.LIHC.C3,0.7822047,0.18991989,4,3
TCGA.P3.A6SX.HNSC.C2,0.6427184,0.3572722,1,2
TCGA.F5.6571.READ.C3,0.91766965,0.080718175,1,3
TCGA.D5.6534.COAD.C6,0.80386424,0.16581249,6,1
TCGA.K1.A3PO.SARC.C3,0.712743,0.27523458,3,6
TCGA.SN.A84Y.TGCT.C2,0.7578192,0.23451704,2,1
TCGA.EY.A1GH.UCEC.C2,0.74760467,0.24016492,4,1
TCGA.05.5428.LUAD.C2,0.84069365,0.15815727,2,4
TCGA.BJ.A192.THCA.C4,0.8567425,0.14186358,3,4
TCGA.5P.A9K6.KIRP.C3,0.8552957,0.14464808,3,4
TCGA.E9.A1N4.BRCA.C6,0.89142984,0.08723807,3,1
TCGA.55.8092.LUAD.C2,0.6798127,0.31074005,3,2
TCGA.DB.A64V.LGG.C5,0.86992025,0.13003889,5,4
TCGA.BR.8362.STAD.C1,0.8410762,0.12730576,1,3
TCGA.J7.A8I2.KIRP.C4,0.88378966,0.08310955,4,3
TCGA.S6.A8JX.TGCT.C1,0.6133771,0.3561289,4,1
TCGA.EK.A2R7.CESC.C1,0.8851227,0.11486592,1,2
TCGA.DS.A1OC.CESC.C2,0.76893127,0.2308291,1,2
TCGA.V1.A9ZG.PRAD.C1,0.793234,0.2017592,1,3
TCGA.ZG.A9NI.PRAD.C3,0.69974196,0.2575367,3,1
TCGA.G2.AA3F.BLCA.C1,0.9193301,0.08064446,1,4
TCGA.BG.A0MI.UCEC.C2,0.9195222,0.06214064,2,1
TCGA.AO.A12C.BRCA.C1,0.8474093,0.14204477,1,3
TCGA.E9.A226.BRCA.C2,0.84129506,0.15106937,4,2
TCGA.AA.A03F.COAD.C3,0.90858686,0.091165334,3,1
TCGA.QT.A5XJ.PCPG.C3,0.57756925,0.4213999,4,3
TCGA.24.1564.OV.C4,0.907329,0.08917216,4,6
TCGA.AG.3586.READ.C2,0.720181,0.2793828,1,2
TCGA.HC.8256.PRAD.C4,0.535886,0.4639872,4,3
TCGA.V1.A8WL.PRAD.C2,0.7422468,0.2357808,3,4
TCGA.44.4112.LUAD.C1,0.9021268,0.04877666,1,2
TCGA.55.A494.LUAD.C3,0.6336226,0.35653684,1,3
TCGA.AO.A1KP.BRCA.C1,0.8697306,0.12874039,1,4
TCGA.IW.A3M6.SARC.C6,0.876568,0.06515839,6,1
TCGA.VQ.A91N.STAD.C1,0.7231233,0.27670363,1,2
TCGA.97.A4M5.LUAD.C3,0.8324244,0.15509298,3,6
