sampleID,prob1,prob2,class1,class2
TCGA.CZ.5989.KIRC.C4,0.783984580229464,0.20982269782699167,4,3
TCGA.QR.A6GT.PCPG.C6,0.7607881998386384,0.21029978690762777,3,6
TCGA.E1.A7YE.LGG.C4,0.9147456677276935,0.08525192003890807,4,5
TCGA.BF.A1PU.SKCM.C1,0.772566906995793,0.22701040883687107,1,4
TCGA.P3.A6SX.HNSC.C2,0.9076218586562044,0.09237761511031767,1,2
TCGA.SN.A84Y.TGCT.C2,0.8298023788870418,0.16595158358648376,1,2
TCGA.05.5428.LUAD.C2,0.7896330355123227,0.21036393817278332,4,2
TCGA.AK.3433.KIRC.C3,0.8150789621714254,0.135585330697575,4,3
TCGA.E9.A1N4.BRCA.C6,0.8218410126737176,0.17319536991481838,3,1
TCGA.BR.8362.STAD.C1,0.848602291916137,0.10265449272031905,1,3
TCGA.S6.A8JX.TGCT.C1,0.7880157210677703,0.17664770317169912,1,4
TCGA.BG.A0M4.UCEC.C3,0.9060031403745822,0.08370872842758083,3,1
TCGA.BG.A0W1.UCEC.C4,0.893915450394176,0.055572474720627395,3,4
TCGA.EK.A2R7.CESC.C1,0.9093247487448484,0.09067331113889911,1,2
TCGA.KK.A8IB.PRAD.C1,0.845025672590172,0.15496311030591747,1,3
TCGA.ZG.A9NI.PRAD.C3,0.7425408567969539,0.25709517678420657,3,1
TCGA.BH.A0DV.BRCA.C3,0.5608456014523522,0.4383888662423681,6,3
TCGA.AO.A12C.BRCA.C1,0.8601551605717439,0.11700057206564067,1,3
TCGA.E9.A226.BRCA.C2,0.5135301496159285,0.47233142378847043,4,2
TCGA.AA.A03F.COAD.C3,0.7044059541288001,0.29380995665557325,3,1
TCGA.QT.A5XJ.PCPG.C3,0.7126344867491214,0.28421333305712393,3,4
TCGA.29.1783.OV.C2,0.7100625104385555,0.2616601986983087,2,1
TCGA.55.A494.LUAD.C3,0.6763687659437442,0.32212869753130413,1,3
TCGA.AO.A1KP.BRCA.C1,0.8232962636067815,0.1764256606249916,1,4
TCGA.BQ.7046.KIRP.C3,0.9014133786557545,0.0985864883783488,4,3
TCGA.OR.A5K1.ACC.C3,0.6302794105678986,0.3696616723242525,3,4
TCGA.B9.A5W7.KIRP.C3,0.6106781913712623,0.38932119655837,4,3
TCGA.W5.AA36.CHOL.C4,0.691031181382917,0.30609877224152193,4,3
TCGA.KL.8339.KICH.C4,0.8233316331777814,0.12375673453058532,4,5
TCGA.GM.A2DN.BRCA.C2,0.522686582313818,0.4498172337867061,2,3
TCGA.XD.AAUL.PAAD.C1,0.6771547698253509,0.3223579857815904,1,6
TCGA.DD.A73C.LIHC.C3,0.9002937649531125,0.09970526978083472,3,4
TCGA.AR.A24M.BRCA.C6,0.8557027564789235,0.12805128122944306,3,1
TCGA.LK.A4NW.MESO.C2,0.5938713660404875,0.4058049456342233,2,1
TCGA.ED.A66Y.LIHC.C4,0.6232871633295763,0.37620514442387715,4,3
TCGA.V4.A9F0.UVM.C3,0.7949490928814925,0.20504962001075544,3,4
TCGA.AA.3862.COAD.C2,0.8591703776706673,0.14082667869989243,1,2
TCGA.KK.A7B4.PRAD.C1,0.7539952029248729,0.24587432104452636,1,3
TCGA.BH.A0H7.BRCA.C2,0.569290132207047,0.4307024420616625,1,2
TCGA.S7.A7WN.PCPG.C3,0.5635016495264983,0.43649684350120016,4,3
TCGA.O8.A75V.LIHC.C3,0.9029588670713251,0.09472910206636749,3,2
TCGA.BH.A0DS.BRCA.C3,0.6298382172076858,0.35466777389709175,3,1
TCGA.MJ.A68J.SARC.C3,0.8469149522364,0.15194137569392943,6,3
TCGA.VW.A7QS.LGG.C4,0.7950120257897131,0.20490861826551515,4,5
TCGA.KM.8441.KICH.C3,0.7317030850048674,0.26826908304715313,3,4
TCGA.CS.6666.LGG.C4,0.741187939805416,0.2588099342512404,4,5
TCGA.C8.A274.BRCA.C4,0.9177877630892395,0.07927915874810725,4,1
TCGA.AR.A24T.BRCA.C6,0.8702461519385715,0.09253411970353066,1,6
TCGA.62.A46Y.LUAD.C2,0.7745902247468541,0.2207680798350269,2,3
