,MEL.IPI_Pat02.Tumor.SM.4DJZX,MEL.IPI_Pat03.Tumor.SM.4DJZY,MEL.IPI_Pat04.Tumor.SM.4DJZZ,MEL.IPI_Pat06.Tumor.SM.4DK12,MEL.IPI_Pat08.Tumor.SM.4DK14,MEL.IPI_Pat118.Tumor.SM.5X2QV,MEL.IPI_Pat119.Tumor.SM.7459N,MEL.IPI_Pat123.Tumor.SM.5X2R1,MEL.IPI_Pat126.Tumor.SM.5X2R4,MEL.IPI_Pat14.Tumor.SM.53U3C,MEL.IPI_Pat15.Tumor.SM.4DK1B,MEL.IPI_Pat16.Tumor.SM.53U3E,MEL.IPI_Pat19.Tumor.SM.4DK1F,MEL.IPI_Pat20.Tumor.SM.53U3I,MEL.IPI_Pat25.Tumor.SM.4DK1L,MEL.IPI_Pat27.Tumor.SM.4DK1N,MEL.IPI_Pat28.Tumor.SM.4DK1O,MEL.IPI_Pat29.Tumor.SM.4DK1P,MEL.IPI_Pat33.Tumor.SM.4DK1T,MEL.IPI_Pat36.Tumor.SM.53U3X,MEL.IPI_Pat37.Tumor.SM.53U3Y,MEL.IPI_Pat38.Tumor.SM.53U3Z,MEL.IPI_Pat39.Tumor.SM.4DK1Z,MEL.IPI_Pat40.Tumor.SM.4DK21,MEL.IPI_Pat41.Tumor.SM.4DK22,MEL.IPI_Pat43.Tumor.SM.4DK24,MEL.IPI_Pat44.Tumor.SM.4DK25,MEL.IPI_Pat45.Tumor.SM.4DK26,MEL.IPI_Pat46.Tumor.SM.53U48,MEL.IPI_Pat47.Tumor.SM.4DK28,MEL.IPI_Pat49.Tumor.SM.4DK2A,MEL.IPI_Pat50.Tumor.SM.53U69,MEL.IPI_Pat79.Tumor.SM.53U2S,MEL.IPI_Pat80.Tumor.SM.4DK36,MEL.IPI_Pat81.Tumor.SM.4DK37,MEL.IPI_Pat83.Tumor.SM.53U2W,MEL.IPI_Pat85.Tumor.SM.53U2Y,MEL.IPI_Pat86.Tumor.SM.4DK3C,MEL.IPI_Pat88.Tumor.SM.4DK3E,MEL.IPI_Pat90.Tumor.SM.4DK3G,MEL.IPI_Pat91.Tumor.SM.4DK3H,MEL.IPI_Pat98.Tumor.SM.4CU6L
ACTL6A,5.189386368,15.55233955,33.46957779,12.21188068,24.40656662,25.23563004,24.25634956,29.67588425,34.63387299,22.60601425,23.7232666,20.12767982,38.59856796,35.81906509,10.5658741,13.13781738,19.72981453,20.2835598,35.31934738,33.01091003,39.81988144,27.75415993,9.565264702,16.04558182,21.47906685,11.45981121,25.65079689,18.15074539,19.8426075,23.12228966,11.59962749,14.0311718,20.18945503,25.81495094,27.70938301,9.544691086,15.06516457,13.82826805,22.59159851,32.9079361,16.32599449,25.85660172
ADAM9,58.63553238,34.58901596,34.35506058,19.72733116,43.41095352,71.27616119,66.2082901,77.90162659,53.9450264,58.68321228,48.62815094,14.51948643,60.24647522,37.08008957,13.36297894,55.27815247,19.93382072,28.4720192,33.1366272,23.74023247,83.87025452,68.85946655,57.47912598,48.93323517,25.61995506,65.05998993,21.78984833,22.10096931,32.74720764,72.56582642,22.04314613,59.86854935,19.44762039,33.40464783,37.8073616,33.89238739,31.79786682,28.30912209,17.82121849,15.23006535,26.08203888,17.19577026
ADAMTS1,8.955091476,14.24192333,4.479263783,5.849781036,14.27473068,5.712300777,3.801037073,3.853924513,4.613060951,82.25960541,4.411248207,2.035419226,10.36266708,5.306035042,1.771713495,6.795067787,3.210631371,11.35287285,6.900517464,32.32682037,6.018445492,5.992768288,10.80119705,12.05494022,3.316632748,12.56372547,2.347772121,22.18803215,35.54525757,14.55651569,4.588203907,3.84123373,4.97287178,9.813475609,12.24440002,1.934816241,13.5762825,4.684405327,2.397303104,12.71809101,32.39937973,16.51703835
ADCY7,35.94536972,8.872046471,6.947450638,24.72062492,6.324011803,6.508116722,1.250244021,1.400203943,3.406788588,8.374854088,0.416869313,3.51282835,15.60247612,2.394874096,3.828195334,14.23167133,7.230693817,11.03786278,1.349104285,1.40587759,5.068860054,10.67906189,15.54991055,4.285419464,3.979460716,11.93276691,0.46475324,2.831569433,9.876085281,2.750776529,21.81108093,2.415394783,2.92730403,6.165715694,3.027778864,15.40600491,35.68619156,5.541259766,7.010070324,5.562671185,7.809120178,5.28024292
AIMP2,5.589337826,5.022811413,8.616764069,4.68922472,6.0464921,4.269713879,7.91097641,9.243836403,22.38155937,18.62915611,17.55725098,6.741388798,8.325523377,8.716229439,10.36251926,13.30599213,11.03577423,7.111987114,10.54482174,7.012128353,15.39958477,11.93213463,4.363549233,4.865436554,5.214390755,4.200894833,7.394735813,7.808560371,6.32200861,8.593930244,9.357365608,8.654475212,17.55732727,10.92893887,8.151364327,10.36691856,6.902638435,7.703008175,13.47293663,11.38005638,6.205158711,7.65482235
ALKBH7,7.434854507,4.395794392,5.991994381,4.661538601,8.576864243,1.242699385,1.619982243,2.765642881,3.025218964,4.480774403,11.71293545,15.37958431,6.065541267,6.225662708,7.122664928,4.323998451,9.097302437,6.511721134,14.04229069,7.955490589,2.339565277,4.753962517,2.745104551,4.92702198,15.28618336,2.039440393,5.823291302,6.917090416,8.367466927,8.47855854,6.611250401,3.949113369,10.7615509,7.694859505,9.758938789,6.912374497,4.798071384,6.144783974,3.929254293,11.5894804,4.566378593,3.561725855
ALOX5AP,7.454467297,3.533959866,2.752100468,14.82996845,5.793128967,9.19627285,3.932475328,0.888489783,8.92192173,6.490432262,0.4592233,1.719365954,23.80763626,2.873904228,1.099811435,10.84773922,2.911229134,8.432834625,2.238430977,0.820614815,2.660105944,7.496931076,7.362569809,11.63331223,0,17.17350388,0.366327673,0.692797542,43.56241226,7.690723419,14.4440918,2.552128315,1.934082747,6.600746632,7.067874908,7.743705273,35.51676941,3.456441164,5.811842918,5.022073746,4.925508022,11.24879456
AMPD3,21.24058723,5.45877552,2.100110769,10.22642231,3.22730732,3.639181614,0.884558499,0.659666061,1.739608526,4.564770222,0.992699623,1.565478444,7.196237564,4.219791412,1.539218903,4.749660015,2.993656874,4.172782421,0.765333235,0.352296174,1.842014313,4.835728645,5.435260773,3.705943823,5.492208004,5.683256149,0.124084979,0.965495586,5.903949738,1.262030602,5.917128086,1.113927603,0.882467151,3.740204334,1.954288364,1.445938587,17.07689857,1.384420037,3.112761021,1.965483666,2.173544645,2.595101118
APITD1,1.681385875,2.897824287,5.528238773,3.419499636,4.50480175,5.066317558,4.219124794,4.560295105,13.41649437,5.737335682,6.094207764,3.323437691,2.795211792,3.097210407,2.506175995,3.075766563,2.703386068,3.526929617,5.613464832,2.589831829,16.3561039,3.297439098,2.90164113,2.784747362,0,3.062597752,4.595781803,3.387702227,4.886506558,4.419193745,4.197210789,11.29179478,7.891644955,11.32181835,3.345857382,2.064313173,3.393750429,7.185443401,5.603622913,4.410665989,3.447367907,6.090813637
APOC1,249.1944427,20.62319756,165.8815918,51.05446243,246.7807159,51.46579361,4.778938294,73.06754303,25.4281044,20.25247192,654.8453369,44.21150208,182.686615,184.5133972,236.4090118,496.6613159,211.0702667,91.7266922,21.93370247,78.27788544,34.33036041,378.1185303,36.81611633,273.270752,664.75,28.76710892,1.451373935,428.8191223,183.321106,118.6625137,53.40329742,1482.769165,83.23509979,314.0754395,13.5648756,225.6242065,255.2479248,62.58810043,214.556488,422.9673767,579.746582,1064.470337
