"sampleID","prob1","prob2","prob3","prob4","prob5","prob6"
"MEL.IPI_Pat02.Tumor.SM.4DJZX","3.187007280303078e-7","1.1528362620083499e-7","0.09351057559251785","0.15300782024860382","0.7534785866737366","0.0000026103455184056656"
"MEL.IPI_Pat03.Tumor.SM.4DJZY","1.4549761395699079e-8","1.2168333007878118e-8","0.00639529712498188","0.03141538426280022","0.9621889591217041","2.872610309623269e-7"
"MEL.IPI_Pat04.Tumor.SM.4DJZZ","4.173341672242259e-9","1.0689614526881996e-8","0.002301721600815654","0.03189053013920784","0.9658074975013733","2.152618634454484e-7"
"MEL.IPI_Pat06.Tumor.SM.4DK12","5.2965198449328454e-8","1.7646328842602088e-7","0.14346733689308167","0.17683611810207367","0.6796935200691223","0.000002841814648490981"
"MEL.IPI_Pat08.Tumor.SM.4DK14","5.4143738381640105e-9","8.88415918609553e-9","0.004964358173310757","0.026421356946229935","0.9686139225959778","3.3212151606676343e-7"
"MEL.IPI_Pat118.Tumor.SM.5X2QV","2.7425747006759593e-8","5.3400707855644214e-8","0.019449690356850624","0.057813212275505066","0.9227358102798462","0.0000011442755294410745"
"MEL.IPI_Pat119.Tumor.SM.7459N","5.609595454814098e-9","1.776852798229811e-8","0.003581865457817912","0.023799581453204155","0.9726181626319885","3.050184034236736e-7"
"MEL.IPI_Pat123.Tumor.SM.5X2R1","2.2702753010861443e-9","7.517426681147299e-9","0.0014245409984141588","0.012006024830043316","0.9865692853927612","1.290457731784045e-7"
"MEL.IPI_Pat126.Tumor.SM.5X2R4","2.5674022907651306e-9","8.20151768721189e-9","0.001554175280034542","0.018797466531395912","0.9796481728553772","1.547241339494576e-7"
"MEL.IPI_Pat14.Tumor.SM.53U3C","1.1000585331544244e-8","2.8233323234871932e-8","0.006875747814774513","0.015858031809329987","0.9772655367851257","6.194466664055653e-7"
"MEL.IPI_Pat15.Tumor.SM.4DK1B","1.0897968083511955e-9","3.8377021560620506e-9","0.0009130904218181968","0.013661200180649757","0.985425591468811","7.705041582539707e-8"
"MEL.IPI_Pat16.Tumor.SM.53U3E","4.5942636361928635e-9","1.5212711090839548e-8","0.0036474824883043766","0.015770263969898224","0.9805819392204285","2.6114469164895127e-7"
"MEL.IPI_Pat19.Tumor.SM.4DK1F","5.678579739765155e-8","1.8351390451698535e-7","0.1721501499414444","0.1571107804775238","0.6707355976104736","0.000003213567197235534"
"MEL.IPI_Pat20.Tumor.SM.53U3I","8.256026973185726e-9","1.6742331965247104e-8","0.008864608593285084","0.009696949273347855","0.9814380407333374","3.9015748143356177e-7"
"MEL.IPI_Pat25.Tumor.SM.4DK1L","2.492377859653061e-9","9.001542622399938e-9","0.0020106893498450518","0.01318705826997757","0.9848020672798157","1.730450094328262e-7"
"MEL.IPI_Pat27.Tumor.SM.4DK1N","3.1240521281006295e-9","5.788626022962262e-9","0.004489198327064514","0.012558299116790295","0.982952356338501","1.261125532892038e-7"
"MEL.IPI_Pat28.Tumor.SM.4DK1O","5.258839586019803e-9","1.4134989179126478e-8","0.003947682678699493","0.03492335230112076","0.9611285328865051","3.338768408411852e-7"
"MEL.IPI_Pat29.Tumor.SM.4DK1P","8.571760190534405e-8","3.047909729048115e-7","0.1462225466966629","0.28826943039894104","0.5655037760734558","0.000003815368472714908"
"MEL.IPI_Pat33.Tumor.SM.4DK1T","8.712486287976162e-10","2.752740702050005e-9","0.0007390797836706042","0.007245552726089954","0.9920152425765991","7.049836625583339e-8"
"MEL.IPI_Pat36.Tumor.SM.53U3X","1.6671479752261575e-9","5.190231799900857e-9","0.002884381217882037","0.024193553254008293","0.9729219675064087","9.07288821849761e-8"
"MEL.IPI_Pat37.Tumor.SM.53U3Y","1.6359311683089572e-9","6.060833168675117e-9","0.0011485192226246","0.007576733361929655","0.9912746548652649","1.0404176009615185e-7"
"MEL.IPI_Pat38.Tumor.SM.53U3Z","1.2029194529361575e-8","3.705535434050944e-8","0.02000132016837597","0.029502088204026222","0.9504958987236023","6.958214271435281e-7"
"MEL.IPI_Pat39.Tumor.SM.4DK1Z","2.6038711098408385e-7","2.9973375603731256e-7","0.2737313508987427","0.38952136039733887","0.3367420434951782","0.000004724167865788331"
"MEL.IPI_Pat40.Tumor.SM.4DK21","3.152726746336043e-9","8.731613654333614e-9","0.0025390430819243193","0.021213587373495102","0.9762471914291382","1.678802448168426e-7"
"MEL.IPI_Pat41.Tumor.SM.4DK22","1.5291251598270605e-9","4.529866259872506e-9","0.0013565128901973367","0.023380886763334274","0.975262463092804","8.843899479415995e-8"
"MEL.IPI_Pat43.Tumor.SM.4DK24","2.683628679278627e-7","2.2073285776968987e-7","0.2744491696357727","0.05445687845349312","0.6710887551307678","0.000004729889496957185"
"MEL.IPI_Pat44.Tumor.SM.4DK25","1.33286870429572e-9","4.413457155294509e-9","0.0008363430388271809","0.012460245750844479","0.9867032766342163","8.176316157459951e-8"
"MEL.IPI_Pat45.Tumor.SM.4DK26","1.5285555043931254e-9","3.8353120679346375e-9","0.0011142173316329718","0.014073776081204414","0.9848119020462036","8.310161092595081e-8"
"MEL.IPI_Pat46.Tumor.SM.53U48","2.8371873739274633e-9","8.176217036748312e-9","0.003260554512962699","0.019802087917923927","0.9769371747970581","1.429259839369479e-7"
"MEL.IPI_Pat47.Tumor.SM.4DK28","1.4729792940926245e-9","5.7504765393900925e-9","0.0011005467968061566","0.012315729632973671","0.9865836501121521","9.954109714271908e-8"
"MEL.IPI_Pat49.Tumor.SM.4DK2A","1.9582849120070023e-7","5.425417270998878e-7","0.5152152180671692","0.22301867604255676","0.2617586851119995","0.000006715498329867842"
"MEL.IPI_Pat50.Tumor.SM.53U69","2.3002610927136402e-9","5.722126328322474e-9","0.0016440489562228322","0.007595570292323828","0.9907602071762085","1.3819591515584762e-7"
"MEL.IPI_Pat79.Tumor.SM.53U2S","2.8902396032037814e-9","8.506284565612532e-9","0.0016795458504930139","0.014430363662540913","0.9838899374008179","1.642857512251794e-7"
"MEL.IPI_Pat80.Tumor.SM.4DK36","4.45234382695503e-9","1.2890485123762119e-8","0.002995430724695325","0.019753526896238327","0.977250874042511","2.2025550094895152e-7"
"MEL.IPI_Pat81.Tumor.SM.4DK37","1.4643829482352544e-9","4.778603734933995e-9","0.006946843583136797","0.016621122136712074","0.9764319658279419","8.432589737594753e-8"
"MEL.IPI_Pat83.Tumor.SM.53U2W","1.5831982835834424e-8","4.776820716756447e-8","0.011168270371854305","0.011360806412994862","0.9774700403213501","7.452626960002817e-7"
"MEL.IPI_Pat85.Tumor.SM.53U2Y","1.753442546714723e-8","4.306400924747322e-8","0.25727784633636475","0.006654249504208565","0.7360671162605286","7.467689897566743e-7"
